sample_number,site,element,value,group
105,Forest,Co,5.9,geochem
105,Forest,Cr,14,geochem
105,Forest,Cs,0.4,geochem
105,Forest,Cu,12.5,geochem
105,Forest,Fe,1.17,geochem
105,Forest,Ga,2.37,geochem
105,Forest,Hf,0.13,geochem
105,Forest,Hg,0.08,geochem
105,Forest,In,0.018,geochem
105,Forest,K,0.22,geochem
105,Forest,La,13.4,geochem
105,Forest,Li,5.6,geochem
105,Forest,Mg,0.27,geochem
105,Forest,Mn,1100,geochem
105,Forest,Mo,0.73,geochem
105,Forest,Nb,0.41,geochem
105,Forest,Ni,16.2,geochem
105,Forest,P,860,geochem
105,Forest,Pb,14,geochem
105,Forest,Rb,13.6,geochem
105,Forest,S,0.06,geochem
105,Forest,Sb,0.2,geochem
105,Forest,Sc,1.5,geochem
105,Forest,Se,0.9,geochem
105,Forest,Sn,0.5,geochem
105,Forest,Sr,28,geochem
105,Forest,Te,0.03,geochem
105,Forest,Th,1.6,geochem
105,Forest,Tl,0.13,geochem
105,Forest,U,0.89,geochem
105,Forest,V,36,geochem
105,Forest,Y,7.2,geochem
105,Forest,Zn,194,geochem
105,Forest,Zr,4.3,geochem
106,Forest,Ag,0.07,geochem
106,Forest,Al,0.86,geochem
106,Forest,As,4.7,geochem
106,Forest,B,10,geochem
106,Forest,Ba,190,geochem
106,Forest,Be,0.57,geochem
106,Forest,Bi,0.21,geochem
106,Forest,Ca,0.62,geochem
106,Forest,Cd,0.41,geochem
106,Forest,Ce,33.3,geochem
106,Forest,Co,8.4,geochem
106,Forest,Cr,17,geochem
106,Forest,Cs,0.56,geochem
106,Forest,Cu,12.4,geochem
106,Forest,Fe,1.36,geochem
106,Forest,Ga,2.67,geochem
106,Forest,Hf,0.09,geochem
106,Forest,Hg,0.04,geochem
106,Forest,In,0.018,geochem
106,Forest,K,0.21,geochem
106,Forest,La,16,geochem
106,Forest,Li,6.5,geochem
106,Forest,Mg,0.25,geochem
106,Forest,Mn,1220,geochem
106,Forest,Mo,0.62,geochem
106,Forest,Nb,0.4,geochem
106,Forest,Ni,19.2,geochem
106,Forest,P,670,geochem
106,Forest,Pb,11.1,geochem
106,Forest,Rb,15.2,geochem
106,Forest,S,0.03,geochem
106,Forest,Sb,0.2,geochem
106,Forest,Sc,2,geochem
106,Forest,Se,0.6,geochem
106,Forest,Sn,0.4,geochem
106,Forest,Sr,18.9,geochem
106,Forest,Te,0.03,geochem
106,Forest,Th,2.1,geochem
106,Forest,Tl,0.16,geochem
106,Forest,U,0.89,geochem
106,Forest,V,43,geochem
106,Forest,Y,8,geochem
106,Forest,Zn,123,geochem
106,Forest,Zr,3.3,geochem
107,Forest,Ag,0.08,geochem
107,Forest,Al,0.65,geochem
107,Forest,As,3.6,geochem
107,Forest,B,20,geochem
107,Forest,Ba,170,geochem
107,Forest,Be,0.44,geochem
107,Forest,Bi,0.17,geochem
107,Forest,Ca,1.08,geochem
107,Forest,Cd,0.56,geochem
107,Forest,Ce,27.3,geochem
107,Forest,Co,5.9,geochem
107,Forest,Cr,13,geochem
107,Forest,Cs,0.43,geochem
107,Forest,Cu,13.2,geochem
107,Forest,Fe,1.16,geochem
107,Forest,Ga,2.13,geochem
107,Forest,Hf,0.12,geochem
107,Forest,Hg,0.08,geochem
107,Forest,In,0.015,geochem
107,Forest,K,0.21,geochem
107,Forest,La,13.5,geochem
107,Forest,Li,5.3,geochem
107,Forest,Mg,0.24,geochem
107,Forest,Mn,883,geochem
107,Forest,Mo,0.56,geochem
107,Forest,Nb,0.4,geochem
107,Forest,Ni,14.5,geochem
107,Forest,P,890,geochem
107,Forest,Pb,10.5,geochem
107,Forest,Rb,12.1,geochem
107,Forest,S,0.06,geochem
107,Forest,Sb,0.18,geochem
107,Forest,Sc,1.4,geochem
107,Forest,Se,0.8,geochem
107,Forest,Sn,0.4,geochem
107,Forest,Sr,25.4,geochem
107,Forest,Te,0.03,geochem
107,Forest,Th,1.6,geochem
107,Forest,Tl,0.13,geochem
107,Forest,U,1.02,geochem
107,Forest,V,30,geochem
107,Forest,Y,7.05,geochem
107,Forest,Zn,112,geochem
107,Forest,Zr,4,geochem
108,Forest,Ag,0.06,geochem
108,Forest,Al,0.56,geochem
108,Forest,As,6.6,geochem
108,Forest,B,10,geochem
108,Forest,Ba,170,geochem
108,Forest,Be,0.37,geochem
108,Forest,Bi,0.14,geochem
108,Forest,Ca,4.51,geochem
108,Forest,Cd,0.33,geochem
108,Forest,Ce,34.7,geochem
108,Forest,Co,7.6,geochem
108,Forest,Cr,12,geochem
108,Forest,Cs,0.75,geochem
108,Forest,Cu,11.3,geochem
108,Forest,Fe,1.21,geochem
108,Forest,Ga,1.9,geochem
108,Forest,Hf,0.09,geochem
108,Forest,Hg,0.03,geochem
108,Forest,In,0.013,geochem
108,Forest,K,0.15,geochem
108,Forest,La,16.8,geochem
108,Forest,Li,6.8,geochem
108,Forest,Mg,1.6,geochem
108,Forest,Mn,1000,geochem
108,Forest,Mo,1.13,geochem
108,Forest,Nb,0.33,geochem
108,Forest,Ni,20.1,geochem
108,Forest,P,580,geochem
108,Forest,Pb,8.6,geochem
108,Forest,Rb,12.1,geochem
108,Forest,S,0.07,geochem
108,Forest,Sb,0.36,geochem
108,Forest,Sc,1.9,geochem
108,Forest,Se,0.8,geochem
108,Forest,Sn,0.3,geochem
108,Forest,Sr,51.1,geochem
108,Forest,Te,0.03,geochem
108,Forest,Th,3.9,geochem
108,Forest,Tl,0.19,geochem
108,Forest,U,1.26,geochem
108,Forest,V,31,geochem
108,Forest,Y,10.15,geochem
108,Forest,Zn,50,geochem
108,Forest,Zr,5.1,geochem
109,Forest,Ag,0.06,geochem
109,Forest,Al,0.53,geochem
109,Forest,As,6.9,geochem
109,Forest,B,10,geochem
109,Forest,Ba,220,geochem
109,Forest,Be,0.39,geochem
109,Forest,Bi,0.12,geochem
109,Forest,Ca,4.76,geochem
109,Forest,Cd,0.36,geochem
109,Forest,Ce,37.8,geochem
109,Forest,Co,7.6,geochem
109,Forest,Cr,13,geochem
109,Forest,Cs,0.72,geochem
109,Forest,Cu,10.5,geochem
109,Forest,Fe,1.29,geochem
109,Forest,Ga,1.86,geochem
109,Forest,Hf,0.11,geochem
109,Forest,Hg,0.03,geochem
109,Forest,In,0.011,geochem
109,Forest,K,0.13,geochem
109,Forest,La,18.1,geochem
109,Forest,Li,6.5,geochem
109,Forest,Mg,1.58,geochem
109,Forest,Mn,1020,geochem
109,Forest,Mo,1.19,geochem
109,Forest,Nb,0.27,geochem
109,Forest,Ni,20.1,geochem
109,Forest,P,590,geochem
109,Forest,Pb,7.8,geochem
109,Forest,Rb,11.2,geochem
109,Forest,S,0.08,geochem
109,Forest,Sb,0.36,geochem
109,Forest,Sc,2,geochem
109,Forest,Se,0.8,geochem
109,Forest,Sn,0.3,geochem
109,Forest,Sr,58.3,geochem
109,Forest,Te,0.04,geochem
109,Forest,Th,4.7,geochem
109,Forest,Tl,0.18,geochem
109,Forest,U,1.35,geochem
109,Forest,V,32,geochem
109,Forest,Y,10.35,geochem
109,Forest,Zn,45,geochem
109,Forest,Zr,5.6,geochem
110,Forest,Ag,0.05,geochem
110,Forest,Al,0.55,geochem
110,Forest,As,7.3,geochem
110,Forest,B,10,geochem
110,Forest,Ba,290,geochem
110,Forest,Be,0.39,geochem
110,Forest,Bi,0.14,geochem
110,Forest,Ca,4.47,geochem
110,Forest,Cd,0.32,geochem
110,Forest,Ce,36.8,geochem
110,Forest,Co,9.6,geochem
110,Forest,Cr,13,geochem
110,Forest,Cs,0.78,geochem
110,Forest,Cu,10.3,geochem
110,Forest,Fe,1.31,geochem
110,Forest,Ga,1.88,geochem
110,Forest,Hf,0.12,geochem
110,Forest,Hg,0.03,geochem
110,Forest,In,0.015,geochem
110,Forest,K,0.13,geochem
110,Forest,La,17.3,geochem
110,Forest,Li,6.5,geochem
110,Forest,Mg,1.48,geochem
110,Forest,Mn,1400,geochem
110,Forest,Mo,1.18,geochem
110,Forest,Nb,0.18,geochem
110,Forest,Ni,23.6,geochem
110,Forest,P,590,geochem
110,Forest,Pb,9,geochem
110,Forest,Rb,11.8,geochem
110,Forest,S,0.08,geochem
110,Forest,Sb,0.35,geochem
110,Forest,Sc,2,geochem
110,Forest,Se,0.6,geochem
110,Forest,Sn,0.3,geochem
110,Forest,Sr,59.7,geochem
110,Forest,Te,0.04,geochem
110,Forest,Th,4.6,geochem
110,Forest,Tl,0.18,geochem
110,Forest,U,1.32,geochem
110,Forest,V,35,geochem
110,Forest,Y,10.5,geochem
