sample_number,site,element,value,group
141,Forest,Ca,3.97,geochem
141,Forest,Cd,0.39,geochem
141,Forest,Ce,33.9,geochem
141,Forest,Co,8.3,geochem
141,Forest,Cr,11,geochem
141,Forest,Cs,0.67,geochem
141,Forest,Cu,10.7,geochem
141,Forest,Fe,1.12,geochem
141,Forest,Ga,1.91,geochem
141,Forest,Hf,0.09,geochem
141,Forest,Hg,0.03,geochem
141,Forest,In,0.015,geochem
141,Forest,K,0.17,geochem
141,Forest,La,15.4,geochem
141,Forest,Li,7,geochem
141,Forest,Mg,1.45,geochem
141,Forest,Mn,1090,geochem
141,Forest,Mo,0.82,geochem
141,Forest,Nb,0.31,geochem
141,Forest,Ni,22.5,geochem
141,Forest,P,520,geochem
141,Forest,Pb,8.3,geochem
141,Forest,Rb,12.2,geochem
141,Forest,S,0.07,geochem
141,Forest,Sb,0.29,geochem
141,Forest,Sc,1.7,geochem
141,Forest,Se,0.8,geochem
141,Forest,Sn,0.3,geochem
141,Forest,Sr,43.8,geochem
141,Forest,Te,0.04,geochem
141,Forest,Th,2.9,geochem
141,Forest,Tl,0.18,geochem
141,Forest,U,1.12,geochem
141,Forest,V,29,geochem
141,Forest,Y,9.48,geochem
141,Forest,Zn,52,geochem
141,Forest,Zr,3.8,geochem
142,Forest,Ag,0.07,geochem
142,Forest,Al,0.6,geochem
142,Forest,As,6.8,geochem
142,Forest,B,10,geochem
142,Forest,Ba,140,geochem
142,Forest,Be,0.48,geochem
142,Forest,Bi,0.18,geochem
142,Forest,Ca,2.65,geochem
142,Forest,Cd,0.45,geochem
142,Forest,Ce,44.6,geochem
142,Forest,Co,8.4,geochem
142,Forest,Cr,14,geochem
142,Forest,Cs,0.74,geochem
142,Forest,Cu,12.2,geochem
142,Forest,Fe,1.31,geochem
142,Forest,Ga,2.33,geochem
142,Forest,Hf,0.09,geochem
142,Forest,Hg,0.04,geochem
142,Forest,In,0.019,geochem
142,Forest,K,0.16,geochem
142,Forest,La,20.8,geochem
142,Forest,Li,7.6,geochem
142,Forest,Mg,1.25,geochem
142,Forest,Mn,1150,geochem
142,Forest,Mo,0.85,geochem
142,Forest,Nb,0.37,geochem
142,Forest,Ni,28,geochem
142,Forest,P,750,geochem
142,Forest,Pb,9.6,geochem
142,Forest,Rb,13.3,geochem
142,Forest,S,0.06,geochem
142,Forest,Sb,0.32,geochem
142,Forest,Sc,1.9,geochem
142,Forest,Se,0.8,geochem
142,Forest,Sn,0.4,geochem
142,Forest,Sr,33.6,geochem
142,Forest,Te,0.04,geochem
142,Forest,Th,3.5,geochem
142,Forest,Tl,0.23,geochem
142,Forest,U,1.43,geochem
142,Forest,V,33,geochem
142,Forest,Y,11.45,geochem
142,Forest,Zn,53,geochem
142,Forest,Zr,3.5,geochem
143,Forest,Ag,0.06,geochem
143,Forest,Al,0.83,geochem
143,Forest,As,2.8,geochem
143,Forest,B,20,geochem
143,Forest,Ba,170,geochem
143,Forest,Be,0.54,geochem
143,Forest,Bi,0.17,geochem
143,Forest,Ca,0.86,geochem
143,Forest,Cd,0.24,geochem
143,Forest,Ce,25.2,geochem
143,Forest,Co,5.1,geochem
143,Forest,Cr,13,geochem
143,Forest,Cs,0.49,geochem
143,Forest,Cu,12.3,geochem
143,Forest,Fe,0.98,geochem
143,Forest,Ga,2.58,geochem
143,Forest,Hf,0.17,geochem
143,Forest,Hg,0.06,geochem
143,Forest,In,0.019,geochem
143,Forest,K,0.24,geochem
143,Forest,La,11.5,geochem
143,Forest,Li,5.4,geochem
143,Forest,Mg,0.25,geochem
143,Forest,Mn,1260,geochem
143,Forest,Mo,0.6,geochem
143,Forest,Nb,0.37,geochem
143,Forest,Ni,15.3,geochem
143,Forest,P,680,geochem
143,Forest,Pb,10.2,geochem
143,Forest,Rb,15.6,geochem
143,Forest,S,0.06,geochem
143,Forest,Sb,0.12,geochem
143,Forest,Sc,1.5,geochem
143,Forest,Se,0.8,geochem
143,Forest,Sn,0.4,geochem
143,Forest,Sr,33,geochem
143,Forest,Te,0.02,geochem
143,Forest,Th,1.4,geochem
143,Forest,Tl,0.09,geochem
143,Forest,U,1.38,geochem
143,Forest,V,39,geochem
143,Forest,Y,4.92,geochem
143,Forest,Zn,80,geochem
143,Forest,Zr,5.1,geochem
144,Forest,Ag,0.09,geochem
144,Forest,Al,0.87,geochem
144,Forest,As,3,geochem
144,Forest,B,10,geochem
144,Forest,Ba,240,geochem
144,Forest,Be,0.55,geochem
144,Forest,Bi,0.18,geochem
144,Forest,Ca,0.82,geochem
144,Forest,Cd,0.32,geochem
144,Forest,Ce,22.9,geochem
144,Forest,Co,4.7,geochem
144,Forest,Cr,15,geochem
144,Forest,Cs,0.55,geochem
144,Forest,Cu,13.8,geochem
144,Forest,Fe,1.06,geochem
144,Forest,Ga,2.77,geochem
144,Forest,Hf,0.15,geochem
144,Forest,Hg,0.06,geochem
144,Forest,In,0.022,geochem
144,Forest,K,0.24,geochem
144,Forest,La,11.5,geochem
144,Forest,Li,5.6,geochem
144,Forest,Mg,0.24,geochem
144,Forest,Mn,1390,geochem
144,Forest,Mo,0.6,geochem
144,Forest,Nb,0.36,geochem
144,Forest,Ni,16.9,geochem
144,Forest,P,790,geochem
144,Forest,Pb,10,geochem
144,Forest,Rb,15.9,geochem
144,Forest,S,0.05,geochem
144,Forest,Sb,0.13,geochem
144,Forest,Sc,1.5,geochem
144,Forest,Se,0.8,geochem
144,Forest,Sn,0.4,geochem
144,Forest,Sr,29.2,geochem
144,Forest,Te,0.03,geochem
144,Forest,Th,1.2,geochem
144,Forest,Tl,0.1,geochem
144,Forest,U,0.63,geochem
144,Forest,V,38,geochem
144,Forest,Y,4.7,geochem
144,Forest,Zn,111,geochem
144,Forest,Zr,4.2,geochem
145,Forest,Ag,0.08,geochem
145,Forest,Al,0.89,geochem
145,Forest,As,3.1,geochem
145,Forest,B,20,geochem
145,Forest,Ba,300,geochem
145,Forest,Be,0.67,geochem
145,Forest,Bi,0.17,geochem
145,Forest,Ca,0.74,geochem
145,Forest,Cd,0.54,geochem
145,Forest,Ce,25.4,geochem
145,Forest,Co,5.5,geochem
145,Forest,Cr,14,geochem
145,Forest,Cs,0.54,geochem
145,Forest,Cu,14.4,geochem
145,Forest,Fe,1.08,geochem
145,Forest,Ga,2.66,geochem
145,Forest,Hf,0.16,geochem
145,Forest,Hg,0.05,geochem
145,Forest,In,0.018,geochem
145,Forest,K,0.23,geochem
145,Forest,La,13,geochem
145,Forest,Li,5.5,geochem
145,Forest,Mg,0.24,geochem
145,Forest,Mn,2050,geochem
145,Forest,Mo,0.58,geochem
145,Forest,Nb,0.33,geochem
145,Forest,Ni,23.3,geochem
145,Forest,P,670,geochem
145,Forest,Pb,8.7,geochem
145,Forest,Rb,16.1,geochem
145,Forest,S,0.05,geochem
145,Forest,Sb,0.12,geochem
145,Forest,Sc,1.6,geochem
145,Forest,Se,0.9,geochem
145,Forest,Sn,0.4,geochem
145,Forest,Sr,26,geochem
145,Forest,Te,0.02,geochem
145,Forest,Th,1.4,geochem
145,Forest,Tl,0.1,geochem
145,Forest,U,0.63,geochem
145,Forest,V,41,geochem
145,Forest,Y,6.84,geochem
145,Forest,Zn,172,geochem
145,Forest,Zr,4.3,geochem
146,Forest,Ag,0.07,geochem
146,Forest,Al,0.68,geochem
146,Forest,As,3.8,geochem
146,Forest,B,10,geochem
146,Forest,Ba,160,geochem
146,Forest,Be,0.46,geochem
146,Forest,Bi,0.17,geochem
146,Forest,Ca,0.63,geochem
146,Forest,Cd,0.5,geochem
146,Forest,Ce,30.2,geochem
146,Forest,Co,5.5,geochem
146,Forest,Cr,13,geochem
146,Forest,Cs,0.52,geochem
146,Forest,Cu,12.3,geochem
146,Forest,Fe,1.17,geochem
146,Forest,Ga,2.26,geochem
146,Forest,Hf,0.12,geochem
146,Forest,Hg,0.04,geochem
146,Forest,In,0.018,geochem
146,Forest,K,0.17,geochem
146,Forest,La,14,geochem
146,Forest,Li,5.5,geochem
146,Forest,Mg,0.22,geochem
146,Forest,Mn,771,geochem
146,Forest,Mo,0.64,geochem
146,Forest,Nb,0.42,geochem
146,Forest,Ni,15.4,geochem
146,Forest,P,650,geochem
146,Forest,Pb,9.4,geochem
146,Forest,Rb,14.1,geochem
146,Forest,S,0.04,geochem
146,Forest,Sb,0.15,geochem
146,Forest,Sc,1.6,geochem
146,Forest,Se,0.4,geochem
146,Forest,Sn,0.4,geochem
146,Forest,Sr,16.8,geochem
146,Forest,Te,0.03,geochem
146,Forest,Th,1.9,geochem
146,Forest,Tl,0.13,geochem
146,Forest,U,0.76,geochem
146,Forest,V,31,geochem
146,Forest,Y,7.02,geochem
146,Forest,Zn,126,geochem
146,Forest,Zr,3.6,geochem
147,Forest,Ag,0.07,geochem
147,Forest,Al,0.77,geochem
147,Forest,As,3.4,geochem
147,Forest,B,10,geochem
147,Forest,Ba,130,geochem
147,Forest,Be,0.46,geochem
147,Forest,Bi,0.19,geochem
147,Forest,Ca,0.47,geochem
147,Forest,Cd,0.31,geochem
147,Forest,Ce,29.2,geochem
147,Forest,Co,5.1,geochem
147,Forest,Cr,16,geochem
147,Forest,Cs,0.68,geochem
147,Forest,Cu,11.8,geochem
147,Forest,Fe,1.25,geochem
147,Forest,Ga,2.62,geochem
147,Forest,Hf,0.07,geochem
147,Forest,Hg,0.04,geochem
147,Forest,In,0.017,geochem
147,Forest,K,0.2,geochem
147,Forest,La,13.7,geochem
147,Forest,Li,6.4,geochem
147,Forest,Mg,0.24,geochem
147,Forest,Mn,572,geochem
147,Forest,Mo,0.6,geochem
147,Forest,Nb,0.45,geochem
147,Forest,Ni,12.5,geochem
147,Forest,P,600,geochem
147,Forest,Pb,8.5,geochem
147,Forest,Rb,18.1,geochem
147,Forest,S,0.03,geochem
147,Forest,Sb,0.14,geochem
147,Forest,Sc,1.8,geochem
147,Forest,Se,0.6,geochem
147,Forest,Sn,0.4,geochem
147,Forest,Sr,15.3,geochem
147,Forest,Te,0.03,geochem
147,Forest,Th,2,geochem
147,Forest,Tl,0.17,geochem
147,Forest,U,0.75,geochem
147,Forest,V,36,geochem
147,Forest,Y,4.37,geochem
147,Forest,Zn,107,geochem
147,Forest,Zr,2.3,geochem
148,Forest,Ag,0.07,geochem
148,Forest,Al,0.64,geochem
148,Forest,As,5.7,geochem
148,Forest,B,10,geochem
148,Forest,Ba,140,geochem
148,Forest,Be,0.49,geochem
148,Forest,Bi,0.2,geochem
148,Forest,Ca,0.85,geochem
148,Forest,Cd,0.58,geochem
148,Forest,Ce,36.5,geochem
148,Forest,Co,8.1,geochem
148,Forest,Cr,14,geochem
148,Forest,Cs,0.55,geochem
148,Forest,Cu,13.2,geochem
148,Forest,Fe,1.3,geochem
148,Forest,Ga,2.31,geochem
148,Forest,Hf,0.14,geochem
148,Forest,Hg,0.06,geochem
148,Forest,In,0.022,geochem
148,Forest,K,0.19,geochem
148,Forest,La,17.2,geochem
148,Forest,Li,7,geochem
148,Forest,Mg,0.28,geochem
148,Forest,Mn,947,geochem
148,Forest,Mo,0.74,geochem
148,Forest,Nb,0.42,geochem
148,Forest,Ni,21.8,geochem
148,Forest,P,820,geochem
148,Forest,Pb,11.7,geochem
148,Forest,Rb,15.4,geochem
148,Forest,S,0.05,geochem
148,Forest,Sb,0.28,geochem
148,Forest,Sc,1.7,geochem
148,Forest,Se,0.8,geochem
148,Forest,Sn,0.4,geochem
148,Forest,Sr,22,geochem
148,Forest,Te,0.04,geochem
148,Forest,Th,1.8,geochem
148,Forest,Tl,0.18,geochem
148,Forest,U,1.06,geochem
148,Forest,V,34,geochem
148,Forest,Y,10.75,geochem
148,Forest,Zn,96,geochem
148,Forest,Zr,4.3,geochem
149,Forest,Ag,0.08,geochem
149,Forest,Al,0.62,geochem
149,Forest,As,6.5,geochem
149,Forest,B,20,geochem
149,Forest,Ba,130,geochem
149,Forest,Be,0.49,geochem
149,Forest,Bi,0.18,geochem
149,Forest,Ca,2.86,geochem
149,Forest,Cd,0.44,geochem
149,Forest,Ce,32.7,geochem
149,Forest,Co,7.4,geochem
149,Forest,Cr,13,geochem
149,Forest,Cs,0.71,geochem
149,Forest,Cu,16.6,geochem
149,Forest,Fe,1.21,geochem
149,Forest,Ga,2.25,geochem
149,Forest,Hf,0.08,geochem
149,Forest,Hg,0.05,geochem
149,Forest,In,0.02,geochem
149,Forest,K,0.17,geochem
149,Forest,La,15.6,geochem
149,Forest,Li,8.2,geochem
149,Forest,Mg,1.06,geochem
149,Forest,Mn,1060,geochem
149,Forest,Mo,0.93,geochem
149,Forest,Nb,0.37,geochem
149,Forest,Ni,22.5,geochem
149,Forest,P,710,geochem
149,Forest,Pb,9.4,geochem
149,Forest,Rb,14.6,geochem
149,Forest,S,0.11,geochem
149,Forest,Sb,0.35,geochem
149,Forest,Sc,1.8,geochem
149,Forest,Se,0.9,geochem
149,Forest,Sn,0.4,geochem
149,Forest,Sr,39.4,geochem
149,Forest,Te,0.03,geochem
149,Forest,Th,2.1,geochem
149,Forest,Tl,0.23,geochem
149,Forest,U,1.24,geochem
149,Forest,V,31,geochem
149,Forest,Y,10.1,geochem
149,Forest,Zn,73,geochem
149,Forest,Zr,3.3,geochem
1,Agriculture,Ag,0.11,geochem
1,Agriculture,Al,1.26,geochem
1,Agriculture,As,8.5,geochem
1,Agriculture,B,30,geochem
1,Agriculture,Ba,150,geochem
1,Agriculture,Be,0.87,geochem
1,Agriculture,Bi,0.24,geochem
1,Agriculture,Ca,3.83,geochem
1,Agriculture,Cd,0.53,geochem
1,Agriculture,Ce,38.5,geochem
1,Agriculture,Co,8.1,geochem
1,Agriculture,Cr,22,geochem
1,Agriculture,Cs,0.8,geochem
1,Agriculture,Cu,22.2,geochem
1,Agriculture,Fe,1.92,geochem
1,Agriculture,Ga,3.88,geochem
1,Agriculture,Hf,0.14,geochem
1,Agriculture,Hg,0.05,geochem
1,Agriculture,In,0.033,geochem
1,Agriculture,K,0.22,geochem
1,Agriculture,La,18.6,geochem
1,Agriculture,Li,15.3,geochem
1,Agriculture,Mg,0.88,geochem
1,Agriculture,Mn,936,geochem
1,Agriculture,Mo,0.96,geochem
1,Agriculture,Nb,0.54,geochem
1,Agriculture,Ni,28,geochem
1,Agriculture,P,670,geochem
1,Agriculture,Pb,11.5,geochem
1,Agriculture,Rb,19.6,geochem
1,Agriculture,S,0.21,geochem
1,Agriculture,Sb,0.44,geochem
1,Agriculture,Sc,3,geochem
1,Agriculture,Se,1.4,geochem
1,Agriculture,Sn,0.6,geochem
1,Agriculture,Sr,88,geochem
1,Agriculture,Te,0.06,geochem
1,Agriculture,Th,2.8,geochem
1,Agriculture,Tl,0.18,geochem
1,Agriculture,U,1.72,geochem
1,Agriculture,V,64,geochem
1,Agriculture,Y,11.55,geochem
1,Agriculture,Zn,87,geochem
1,Agriculture,Zr,5.6,geochem
2,Agriculture,Ag,0.11,geochem
2,Agriculture,Al,1.33,geochem
2,Agriculture,As,10.1,geochem
2,Agriculture,B,30,geochem
2,Agriculture,Ba,190,geochem
2,Agriculture,Be,0.9,geochem
2,Agriculture,Bi,0.23,geochem
2,Agriculture,Ca,4.71,geochem
2,Agriculture,Cd,0.54,geochem
2,Agriculture,Ce,37.6,geochem
2,Agriculture,Co,9.7,geochem
2,Agriculture,Cr,23,geochem
2,Agriculture,Cs,0.7,geochem
2,Agriculture,Cu,23.1,geochem
2,Agriculture,Fe,2.02,geochem
2,Agriculture,Ga,4.14,geochem
2,Agriculture,Hf,0.13,geochem
2,Agriculture,Hg,0.03,geochem
2,Agriculture,In,0.033,geochem
2,Agriculture,K,0.21,geochem
2,Agriculture,La,18.5,geochem
2,Agriculture,Li,15.5,geochem
2,Agriculture,Mg,0.85,geochem
2,Agriculture,Mn,1330,geochem
2,Agriculture,Mo,1.27,geochem
2,Agriculture,Nb,0.55,geochem
2,Agriculture,Ni,30.3,geochem
2,Agriculture,P,750,geochem
2,Agriculture,Pb,11.8,geochem
2,Agriculture,Rb,17.7,geochem
2,Agriculture,S,0.27,geochem
2,Agriculture,Sb,0.44,geochem
2,Agriculture,Sc,3,geochem
2,Agriculture,Se,1.6,geochem
2,Agriculture,Sn,0.7,geochem
2,Agriculture,Sr,105.5,geochem
2,Agriculture,Te,0.06,geochem
2,Agriculture,Th,2.4,geochem
2,Agriculture,Tl,0.16,geochem
2,Agriculture,U,1.78,geochem
2,Agriculture,V,70,geochem
2,Agriculture,Y,11.6,geochem
2,Agriculture,Zn,95,geochem
2,Agriculture,Zr,5.1,geochem
3,Agriculture,Ag,0.08,geochem
3,Agriculture,Al,1.17,geochem
3,Agriculture,As,13.5,geochem
3,Agriculture,B,30,geochem
3,Agriculture,Ba,190,geochem
3,Agriculture,Be,0.81,geochem
3,Agriculture,Bi,0.24,geochem
3,Agriculture,Ca,6.6,geochem
3,Agriculture,Cd,0.56,geochem
3,Agriculture,Ce,34.6,geochem
3,Agriculture,Co,10.6,geochem
3,Agriculture,Cr,21,geochem
3,Agriculture,Cs,0.6,geochem
3,Agriculture,Cu,22.5,geochem
3,Agriculture,Fe,2.11,geochem
3,Agriculture,Ga,3.72,geochem
3,Agriculture,Hf,0.1,geochem
3,Agriculture,Hg,0.04,geochem
3,Agriculture,In,0.029,geochem
3,Agriculture,K,0.17,geochem
3,Agriculture,La,16.8,geochem
3,Agriculture,Li,14.9,geochem
3,Agriculture,Mg,0.81,geochem
3,Agriculture,Mn,1600,geochem
3,Agriculture,Mo,1.8,geochem
3,Agriculture,Nb,0.57,geochem
3,Agriculture,Ni,29.9,geochem
3,Agriculture,P,710,geochem
3,Agriculture,Pb,10.6,geochem
3,Agriculture,Rb,13.9,geochem
3,Agriculture,S,0.24,geochem
3,Agriculture,Sb,0.49,geochem
3,Agriculture,Sc,2.6,geochem
3,Agriculture,Se,2.1,geochem
3,Agriculture,Sn,0.6,geochem
3,Agriculture,Sr,137,geochem
3,Agriculture,Te,0.05,geochem
3,Agriculture,Th,1.9,geochem
3,Agriculture,Tl,0.14,geochem
3,Agriculture,U,1.73,geochem
3,Agriculture,V,62,geochem
3,Agriculture,Y,10.3,geochem
3,Agriculture,Zn,86,geochem
3,Agriculture,Zr,3.9,geochem
4,Agriculture,Ag,0.08,geochem
4,Agriculture,Al,0.97,geochem
4,Agriculture,As,14.1,geochem
4,Agriculture,B,30,geochem
4,Agriculture,Ba,160,geochem
4,Agriculture,Be,0.75,geochem
4,Agriculture,Bi,0.2,geochem
4,Agriculture,Ca,8.48,geochem
4,Agriculture,Cd,0.58,geochem
4,Agriculture,Ce,32.3,geochem
4,Agriculture,Co,9.7,geochem
4,Agriculture,Cr,17,geochem
4,Agriculture,Cs,0.51,geochem
4,Agriculture,Cu,21,geochem
4,Agriculture,Fe,2.01,geochem
4,Agriculture,Ga,3.14,geochem
4,Agriculture,Hf,0.09,geochem
4,Agriculture,Hg,0.03,geochem
4,Agriculture,In,0.023,geochem
4,Agriculture,K,0.14,geochem
4,Agriculture,La,15.5,geochem
4,Agriculture,Li,13,geochem
4,Agriculture,Mg,0.76,geochem
4,Agriculture,Mn,1800,geochem
4,Agriculture,Mo,2.35,geochem
4,Agriculture,Nb,0.46,geochem
4,Agriculture,Ni,33.6,geochem
4,Agriculture,P,640,geochem
4,Agriculture,Pb,9.9,geochem
4,Agriculture,Rb,10.2,geochem
4,Agriculture,S,0.16,geochem
4,Agriculture,Sb,0.56,geochem
4,Agriculture,Sc,2.3,geochem
4,Agriculture,Se,2.1,geochem
4,Agriculture,Sn,0.5,geochem
4,Agriculture,Sr,154,geochem
4,Agriculture,Te,0.05,geochem
4,Agriculture,Th,1.8,geochem
4,Agriculture,Tl,0.11,geochem
4,Agriculture,U,1.6,geochem
4,Agriculture,V,55,geochem
4,Agriculture,Y,9.75,geochem
4,Agriculture,Zn,75,geochem
4,Agriculture,Zr,3.5,geochem
5,Agriculture,Ag,0.09,geochem
5,Agriculture,Al,1.13,geochem
5,Agriculture,As,14.2,geochem
5,Agriculture,B,30,geochem
5,Agriculture,Ba,170,geochem
5,Agriculture,Be,0.89,geochem
5,Agriculture,Bi,0.22,geochem
5,Agriculture,Ca,5.97,geochem
5,Agriculture,Cd,0.65,geochem
5,Agriculture,Ce,34.9,geochem
5,Agriculture,Co,10.5,geochem
5,Agriculture,Cr,22,geochem
5,Agriculture,Cs,0.47,geochem
5,Agriculture,Cu,23.8,geochem
5,Agriculture,Fe,1.94,geochem
5,Agriculture,Ga,3.63,geochem
5,Agriculture,Hf,0.12,geochem
5,Agriculture,Hg,0.04,geochem
5,Agriculture,In,0.03,geochem
5,Agriculture,K,0.15,geochem
5,Agriculture,La,16.6,geochem
5,Agriculture,Li,14.2,geochem
5,Agriculture,Mg,0.75,geochem
5,Agriculture,Mn,1160,geochem
5,Agriculture,Mo,1.54,geochem
5,Agriculture,Nb,0.52,geochem
5,Agriculture,Ni,33.2,geochem
5,Agriculture,P,710,geochem
5,Agriculture,Pb,11.2,geochem
5,Agriculture,Rb,11.3,geochem
5,Agriculture,S,0.17,geochem
5,Agriculture,Sb,0.47,geochem
5,Agriculture,Sc,2.5,geochem
5,Agriculture,Se,2.5,geochem
5,Agriculture,Sn,0.6,geochem
5,Agriculture,Sr,120.5,geochem
5,Agriculture,Te,0.05,geochem
5,Agriculture,Th,1.9,geochem
5,Agriculture,Tl,0.11,geochem
5,Agriculture,U,1.39,geochem
5,Agriculture,V,62,geochem
5,Agriculture,Y,10.15,geochem
5,Agriculture,Zn,87,geochem
5,Agriculture,Zr,4.7,geochem
6,Agriculture,Ag,0.11,geochem
6,Agriculture,Al,1.21,geochem
6,Agriculture,As,8.4,geochem
6,Agriculture,B,30,geochem
6,Agriculture,Ba,140,geochem
6,Agriculture,Be,0.86,geochem
6,Agriculture,Bi,0.24,geochem
6,Agriculture,Ca,3.93,geochem
6,Agriculture,Cd,0.54,geochem
6,Agriculture,Ce,40.6,geochem
6,Agriculture,Co,8.4,geochem
6,Agriculture,Cr,22,geochem
6,Agriculture,Cs,0.84,geochem
6,Agriculture,Cu,22.9,geochem
6,Agriculture,Fe,1.87,geochem
6,Agriculture,Ga,3.93,geochem
6,Agriculture,Hf,0.12,geochem
6,Agriculture,Hg,0.05,geochem
6,Agriculture,In,0.03,geochem
6,Agriculture,K,0.21,geochem
6,Agriculture,La,19.3,geochem
6,Agriculture,Li,14.8,geochem
6,Agriculture,Mg,0.9,geochem
6,Agriculture,Mn,503,geochem
6,Agriculture,Mo,0.89,geochem
6,Agriculture,Nb,0.53,geochem
6,Agriculture,Ni,29.3,geochem
6,Agriculture,P,610,geochem
6,Agriculture,Pb,11.3,geochem
6,Agriculture,Rb,17.8,geochem
6,Agriculture,S,0.12,geochem
6,Agriculture,Sb,0.42,geochem
6,Agriculture,Sc,3.1,geochem
6,Agriculture,Se,1.1,geochem
6,Agriculture,Sn,0.6,geochem
6,Agriculture,Sr,77.6,geochem
6,Agriculture,Te,0.04,geochem
6,Agriculture,Th,2.9,geochem
6,Agriculture,Tl,0.18,geochem
6,Agriculture,U,1.29,geochem
6,Agriculture,V,63,geochem
6,Agriculture,Y,11.95,geochem
6,Agriculture,Zn,86,geochem
6,Agriculture,Zr,5.4,geochem
7,Agriculture,Ag,0.11,geochem
7,Agriculture,Al,1.14,geochem
7,Agriculture,As,7.2,geochem
7,Agriculture,B,30,geochem
7,Agriculture,Ba,140,geochem
7,Agriculture,Be,0.85,geochem
7,Agriculture,Bi,0.24,geochem
7,Agriculture,Ca,2.64,geochem
7,Agriculture,Cd,0.54,geochem
7,Agriculture,Ce,37.2,geochem
7,Agriculture,Co,7.5,geochem
7,Agriculture,Cr,21,geochem
7,Agriculture,Cs,0.73,geochem
7,Agriculture,Cu,23.4,geochem
7,Agriculture,Fe,1.71,geochem
7,Agriculture,Ga,3.58,geochem
7,Agriculture,Hf,0.15,geochem
7,Agriculture,Hg,0.03,geochem
7,Agriculture,In,0.031,geochem
7,Agriculture,K,0.21,geochem
7,Agriculture,La,17.7,geochem
7,Agriculture,Li,12.8,geochem
7,Agriculture,Mg,0.87,geochem
7,Agriculture,Mn,646,geochem
7,Agriculture,Mo,0.67,geochem
7,Agriculture,Nb,0.51,geochem
7,Agriculture,Ni,25.5,geochem
7,Agriculture,P,660,geochem
7,Agriculture,Pb,11.3,geochem
7,Agriculture,Rb,18.1,geochem
7,Agriculture,S,0.22,geochem
7,Agriculture,Sb,0.42,geochem
7,Agriculture,Sc,2.7,geochem
7,Agriculture,Se,1.3,geochem
7,Agriculture,Sn,0.6,geochem
7,Agriculture,Sr,53.4,geochem
7,Agriculture,Te,0.04,geochem
7,Agriculture,Th,2.6,geochem
7,Agriculture,Tl,0.18,geochem
7,Agriculture,U,1.35,geochem
7,Agriculture,V,60,geochem
7,Agriculture,Y,11.25,geochem
7,Agriculture,Zn,86,geochem
7,Agriculture,Zr,5.6,geochem
8,Agriculture,Ag,0.1,geochem
8,Agriculture,Al,1.33,geochem
8,Agriculture,As,8.8,geochem
8,Agriculture,B,30,geochem
8,Agriculture,Ba,150,geochem
8,Agriculture,Be,0.95,geochem
8,Agriculture,Bi,0.24,geochem
8,Agriculture,Ca,3.37,geochem
8,Agriculture,Cd,0.49,geochem
8,Agriculture,Ce,38.9,geochem
8,Agriculture,Co,8.2,geochem
8,Agriculture,Cr,24,geochem
8,Agriculture,Cs,0.86,geochem
8,Agriculture,Cu,22.7,geochem
8,Agriculture,Fe,1.93,geochem
8,Agriculture,Ga,4.24,geochem
8,Agriculture,Hf,0.14,geochem
8,Agriculture,Hg,0.04,geochem
8,Agriculture,In,0.029,geochem
8,Agriculture,K,0.2,geochem
8,Agriculture,La,19,geochem
8,Agriculture,Li,15.6,geochem
8,Agriculture,Mg,0.79,geochem
8,Agriculture,Mn,797,geochem
8,Agriculture,Mo,1,geochem
8,Agriculture,Nb,0.54,geochem
8,Agriculture,Ni,28.8,geochem
8,Agriculture,P,630,geochem
8,Agriculture,Pb,11.8,geochem
8,Agriculture,Rb,18.9,geochem
8,Agriculture,S,0.26,geochem
8,Agriculture,Sb,0.47,geochem
8,Agriculture,Sc,3.3,geochem
8,Agriculture,Se,1.1,geochem
8,Agriculture,Sn,0.7,geochem
8,Agriculture,Sr,91.1,geochem
8,Agriculture,Te,0.06,geochem
8,Agriculture,Th,3.2,geochem
8,Agriculture,Tl,0.17,geochem
8,Agriculture,U,1.74,geochem
8,Agriculture,V,69,geochem
8,Agriculture,Y,11.75,geochem
8,Agriculture,Zn,86,geochem
8,Agriculture,Zr,6.3,geochem
9,Agriculture,Ag,0.1,geochem
9,Agriculture,Al,1.35,geochem
9,Agriculture,As,9.8,geochem
9,Agriculture,B,30,geochem
9,Agriculture,Ba,190,geochem
9,Agriculture,Be,0.94,geochem
9,Agriculture,Bi,0.24,geochem
9,Agriculture,Ca,5.04,geochem
9,Agriculture,Cd,0.56,geochem
9,Agriculture,Ce,37.8,geochem
9,Agriculture,Co,9.7,geochem
9,Agriculture,Cr,25,geochem
9,Agriculture,Cs,0.75,geochem
9,Agriculture,Cu,22.9,geochem
9,Agriculture,Fe,1.99,geochem
9,Agriculture,Ga,4.25,geochem
9,Agriculture,Hf,0.15,geochem
9,Agriculture,Hg,0.04,geochem
9,Agriculture,In,0.035,geochem
9,Agriculture,K,0.17,geochem
9,Agriculture,La,18.6,geochem
9,Agriculture,Li,16.4,geochem
9,Agriculture,Mg,0.85,geochem
9,Agriculture,Mn,1410,geochem
9,Agriculture,Mo,1.65,geochem
9,Agriculture,Nb,0.52,geochem
9,Agriculture,Ni,30.3,geochem
9,Agriculture,P,660,geochem
9,Agriculture,Pb,11.4,geochem
9,Agriculture,Rb,15.8,geochem
9,Agriculture,S,0.24,geochem
9,Agriculture,Sb,0.48,geochem
9,Agriculture,Sc,3.3,geochem
