x,y,ca,elevation
463439.913,5622824.127,2.574371337890625,310.3224792480469
463449.913,5622824.127,2.682118654251098,310.27911376953125
463459.913,5622824.127,2.7868027687072754,310.252685546875
463469.913,5622824.127,2.897130966186523,310.25323486328125
463479.913,5622824.127,3.0173816680908203,310.245849609375
463489.913,5622824.127,3.1435906887054443,310.2078857421875
463499.913,5622824.127,3.2767016887664795,310.1764221191406
463509.913,5622824.127,3.4178335666656494,310.1441650390625
463519.913,5622824.127,3.568514108657837,310.09613037109375
463529.913,5622824.127,3.7316179275512695,310.0762939453125
463539.913,5622824.127,3.9025769233703618,310.05865478515625
463549.913,5622824.127,4.078098297119141,310.064208984375
463559.913,5622824.127,4.260358810424805,310.04656982421875
463569.913,5622824.127,4.449901103973389,310.0281982421875
463579.913,5622824.127,4.648795127868652,309.9807434082031
463589.913,5622824.127,4.857118606567383,309.950439453125
463599.913,5622824.127,5.078654766082764,309.95489501953125
463609.913,5622824.127,5.3062825202941895,309.9542236328125
463619.913,5622824.127,5.53931188583374,309.9401550292969
463629.913,5622824.127,5.784821033477783,309.917724609375
463639.913,5622824.127,6.049434661865234,309.8821105957031
463649.913,5622824.127,6.325704097747803,309.8395080566406
463659.913,5622824.127,6.603415012359619,309.8072814941406
463669.913,5622824.127,6.8782057762146,309.77783203125
463679.913,5622824.127,7.143898963928223,309.7521057128906
463689.913,5622824.127,7.394749164581299,309.72637939453125
463699.913,5622824.127,7.62725019454956,309.7041015625
463709.913,5622824.127,7.842843532562256,309.684814453125
463719.913,5622824.127,8.033929824829102,309.66351318359375
463729.913,5622824.127,8.19457721710205,309.6455078125
463739.913,5622824.127,8.31523323059082,309.6280517578125
463749.913,5622824.127,8.376626968383789,309.61065673828125
463759.913,5622824.127,8.363800048828125,309.59326171875
463769.913,5622824.127,8.279290199279785,309.5758972167969
463779.913,5622824.127,8.146860122680664,309.5585021972656
463789.913,5622824.127,7.980794429779053,309.5411071777344
463799.913,5622824.127,7.788429737091064,309.5237121582031
463809.913,5622824.127,7.576225757598877,309.5063171386719
463819.913,5622824.127,7.349316596984863,309.4889221191406
463829.913,5622824.127,7.110466480255127,309.4715270996094
463839.913,5622824.127,6.867159366607666,309.4541320800781
463849.913,5622824.127,6.628407955169678,309.4367370605469
463859.913,5622824.127,6.401313781738281,309.4193420410156
463869.913,5622824.127,6.187376022338867,309.4019470214844
463879.913,5622824.127,5.9774489402771,309.3845520019531
463889.913,5622824.127,5.7726826667785645,309.3671569824219
463899.913,5622824.127,5.575891017913818,309.3497619628906
463909.913,5622824.127,5.389464378356934,309.3323669433594
463919.913,5622824.127,5.207937240600586,309.3149719238281
463929.913,5622824.127,5.032078266143799,309.2975769042969
463939.913,5622824.127,4.866200923919678,309.2801818847656
463949.913,5622824.127,4.7185444831848145,309.2627868652344
463959.913,5622824.127,4.595971584320068,309.2453918457031
463969.913,5622824.127,4.490988731384277,309.2279968261719
463979.913,5622824.127,4.391902446746826,309.2106018066406
463989.913,5622824.127,4.300167560577393,309.1932067871094
463999.913,5622824.127,4.219645023345947,309.17584228515625
464009.913,5622824.127,4.146185874938965,309.1584777832031
464019.913,5622824.127,4.078302383422852,309.1410217285156
464029.913,5622824.127,4.0152812004089355,309.1236267089844
464039.913,5622824.127,3.956563949584961,309.1064453125
464049.913,5622824.127,3.9063079357147217,309.0902404785156
464059.913,5622824.127,3.865602970123291,309.0711975097656
463439.913,5622814.127,2.4728870391845703,310.3374328613281
463449.913,5622814.127,2.5810225009918213,310.29791259765625
463459.913,5622814.127,2.706587791442871,310.2717590332031
463469.913,5622814.127,2.806981325149536,310.26983642578125
463479.913,5622814.127,2.9200997352600098,310.2552490234375
463489.913,5622814.127,3.046415328979492,310.2153625488281
463499.913,5622814.127,3.180119276046753,310.1821594238281
463509.913,5622814.127,3.322909116744995,310.155029296875
463519.913,5622814.127,3.4800984859466553,310.1241149902344
463529.913,5622814.127,3.646380662918091,310.1089782714844
463539.913,5622814.127,3.811218738555908,310.0968017578125
463549.913,5622814.127,3.988610029220581,310.0896911621094
463559.913,5622814.127,4.182058334350586,310.0633850097656
463569.913,5622814.127,4.3755784034729,310.0478820800781
463579.913,5622814.127,4.576406955718994,310.0063781738281
463589.913,5622814.127,4.787686347961426,309.9722595214844
463599.913,5622814.127,5.013973712921143,309.966064453125
463609.913,5622814.127,5.241301536560059,309.9559631347656
463619.913,5622814.127,5.472461700439453,309.94085693359375
463629.913,5622814.127,5.715257167816162,309.92864990234375
463639.913,5622814.127,5.966139316558838,309.8952331542969
463649.913,5622814.127,6.244751453399658,309.8639831542969
463659.913,5622814.127,6.528078556060791,309.8287048339844
463669.913,5622814.127,6.796803951263428,309.8035583496094
463679.913,5622814.127,7.055708885192871,309.77362060546875
463689.913,5622814.127,7.29788875579834,309.7543029785156
463699.913,5622814.127,7.52045202255249,309.72833251953125
463709.913,5622814.127,7.7271904945373535,309.70892333984375
463719.913,5622814.127,7.910019397735596,309.66796875
463729.913,5622814.127,8.061701774597168,309.646484375
463739.913,5622814.127,8.166389465332031,309.6248474121094
463749.913,5622814.127,8.219022750854492,309.6072692871094
463759.913,5622814.127,8.215510368347168,309.58990478515625
463769.913,5622814.127,8.155302047729492,309.5724792480469
463779.913,5622814.127,8.042370796203613,309.5546569824219
463789.913,5622814.127,7.893321514129639,309.5372619628906
463799.913,5622814.127,7.718260765075684,309.5198669433594
463809.913,5622814.127,7.523711204528809,309.5024719238281
463819.913,5622814.127,7.314899444580078,309.4850769042969
463829.913,5622814.127,7.093752384185791,309.4676818847656
