x,y,ca,elevation
460129.1742,5619885.327,1.013161301612854,367.5322570800781
460139.1742,5619885.327,1.003177046775818,367.5018310546875
460149.1742,5619885.327,0.9923165440559388,367.548828125
460159.1742,5619885.327,0.9821176528930664,367.5691528320313
460169.1742,5619885.327,0.9729950428009032,367.6149597167969
460179.1742,5619885.327,0.9629667401313782,367.6643676757813
460189.1742,5619885.327,0.9541330933570862,367.6391296386719
460199.1742,5619885.327,0.94587641954422,367.6695556640625
460209.1742,5619885.327,0.9387490153312684,367.6634216308594
460219.1742,5619885.327,0.9369720220565796,367.6440734863281
460229.1742,5619885.327,0.9391244053840636,367.5412902832031
460239.1742,5619885.327,0.9433702230453492,367.5397033691406
460249.1742,5619885.327,0.9496264457702636,367.4610595703125
460259.1742,5619885.327,0.9580169916152954,367.3091125488281
460269.1742,5619885.327,0.9702191948890686,367.1423034667969
460279.1742,5619885.327,0.979880392551422,366.95849609375
460289.1742,5619885.327,0.991377055644989,366.85400390625
460299.1742,5619885.327,0.999880850315094,366.9095458984375
460309.1742,5619885.327,1.0081017017364502,366.9685668945313
460319.1742,5619885.327,1.0239150524139404,366.9455871582031
460329.1742,5619885.327,1.0391589403152466,366.8699035644531
460339.1742,5619885.327,1.051541447639465,366.6139221191406
460349.1742,5619885.327,1.0637109279632568,366.1393737792969
460359.1742,5619885.327,1.0910261869430542,365.6114501953125
460369.1742,5619885.327,1.1508270502090454,365.5259094238281
460379.1742,5619885.327,1.1977516412734983,365.5308532714844
460389.1742,5619885.327,1.213415265083313,365.56060791015625
460399.1742,5619885.327,1.2268297672271729,365.6155700683594
460409.1742,5619885.327,1.2147455215454102,365.6994323730469
460419.1742,5619885.327,1.1956616640090942,365.7529602050781
460429.1742,5619885.327,1.200527548789978,365.8435668945313
460439.1742,5619885.327,1.2292320728302002,366.0158996582031
460449.1742,5619885.327,1.260941982269287,366.1492614746094
460459.1742,5619885.327,1.286503553390503,366.1472473144531
460469.1742,5619885.327,1.292707085609436,366.1553649902344
460479.1742,5619885.327,1.306026577949524,366.2202453613281
460489.1742,5619885.327,1.3310422897338867,366.248291015625
460499.1742,5619885.327,1.371934413909912,366.24951171875
460509.1742,5619885.327,1.426522970199585,366.2184753417969
460519.1742,5619885.327,1.482672095298767,366.1239929199219
460529.1742,5619885.327,1.513708472251892,365.9961242675781
460539.1742,5619885.327,1.5334640741348269,365.7525939941406
460549.1742,5619885.327,1.5699284076690674,365.6545104980469
460559.1742,5619885.327,1.6356747150421145,365.65045166015625
460569.1742,5619885.327,1.6804431676864624,365.5030517578125
460579.1742,5619885.327,1.7159072160720823,365.3153381347656
460589.1742,5619885.327,1.7584017515182495,365.25921630859375
460599.1742,5619885.327,1.8016602993011477,365.222900390625
460609.1742,5619885.327,1.8541117906570437,365.1717224121094
460619.1742,5619885.327,1.8974018096923828,365.115234375
460629.1742,5619885.327,1.9175755977630615,364.9325256347656
460639.1742,5619885.327,1.9663329124450684,365.0712890625
460649.1742,5619885.327,2.004986047744751,365.0282897949219
460659.1742,5619885.327,2.0460689067840576,364.990966796875
460669.1742,5619885.327,2.088710308074951,365.08099365234375
460679.1742,5619885.327,2.1257307529449463,365.0088195800781
460689.1742,5619885.327,2.161785364151001,364.9075927734375
460699.1742,5619885.327,2.198317289352417,364.6500854492187
460709.1742,5619885.327,2.244973659515381,364.33197021484375
460719.1742,5619885.327,2.295346736907959,364.2314147949219
460729.1742,5619885.327,2.338071346282959,362.9695129394531
460739.1742,5619885.327,2.3620352745056152,359.1920471191406
460749.1742,5619885.327,2.3947415351867676,359.3760986328125
460759.1742,5619885.327,2.4619016647338867,359.34716796875
460769.1742,5619885.327,2.527538299560547,359.3077697753906
460779.1742,5619885.327,2.588651418685913,360.322021484375
460789.1742,5619885.327,2.648897886276245,361.1961669921875
460799.1742,5619885.327,2.71756362915039,361.8814392089844
460809.1742,5619885.327,2.8037497997283936,362.3723754882813
460129.1742,5619875.327,1.0107200145721436,367.6151123046875
460139.1742,5619875.327,1.000456929206848,367.6535949707031
460149.1742,5619875.327,0.9893257021903992,367.68511962890625
460159.1742,5619875.327,0.9788179993629456,367.6763610839844
460169.1742,5619875.327,0.9681779146194458,367.7152404785156
460179.1742,5619875.327,0.9554629921913148,367.7363586425781
460189.1742,5619875.327,0.94465309381485,367.7483825683594
460199.1742,5619875.327,0.9372833371162416,367.7666931152344
460209.1742,5619875.327,0.9339154958724976,367.7879638671875
460219.1742,5619875.327,0.9336707592010498,367.7832946777344
460229.1742,5619875.327,0.9356679916381836,367.6363830566406
460239.1742,5619875.327,0.9397820234298706,367.5758972167969
460249.1742,5619875.327,0.9459215998649596,367.5123291015625
460259.1742,5619875.327,0.9536953568458556,367.3610534667969
460269.1742,5619875.327,0.9650772213935852,367.1819458007813
460279.1742,5619875.327,0.9755066633224488,367.00823974609375
460289.1742,5619875.327,0.987993597984314,367.0013122558594
460299.1742,5619875.327,1.0004186630249023,367.0090026855469
460309.1742,5619875.327,1.0091346502304075,367.0741882324219
460319.1742,5619875.327,1.020790457725525,367.0535278320313
460329.1742,5619875.327,1.035904884338379,366.9257507324219
460339.1742,5619875.327,1.0485228300094604,366.7219543457031
460349.1742,5619875.327,1.069372534751892,366.1627807617187
460359.1742,5619875.327,1.1131176948547363,365.7492980957031
460369.1742,5619875.327,1.1578571796417236,365.6876831054687
460379.1742,5619875.327,1.1868187189102173,365.6954956054687
460389.1742,5619875.327,1.1949834823608398,365.66552734375
460399.1742,5619875.327,1.2061163187026978,365.7130126953125
